project,status,team_total,our_total,our_tagged_pct_of_team,product_recall,product_precision,tag_recall,tag_precision,schedule_tags_found,runtime_s,error
4.10.26 HVAC Replacement At The Leadership Academy - Lancaster,ok,4,98,0.0,0.0,0.0,0.0,0.0,0,322.8,
4.10.26 Woodbridge HS Modernization - Bldg J & K,timeout,141,0,0.0,,,,,72,600.2,CLI timed out (>10min)
4.13.26 AALRR - Citrus Tower,no_detections,46,0,0.0,,,,,0,113.4,
4.13.26 Building Improvement - 640 N Sepulveda Blvd  (Ph3 &  Ph4),ok,131,100,0.05343511450381679,0.05343511450381679,0.07,0.0,0.0,26,524.3,
4.13.26 Erewhon - Pacific Palisades,ok,59,94,0.7796610169491526,0.7796610169491526,0.48936170212765956,0.0,0.0,0,547.9,
4.13.26 Krispy Kreme #574 - Valencia,ok,39,46,0.02564102564102564,0.02564102564102564,0.021739130434782608,0.0,0.0,0,173.3,
4.13.26 Rady's Children - Temecula Plaza,ok,123,2,0.0,0.0,0.0,0.0,0.0,0,156.8,
4.13.26 Skytron Modern Aviation Bldg B TI,ok,53,83,0.6981132075471698,0.6981132075471698,0.4457831325301205,0.0,0.0,0,262.4,
4.13.26 The Bungalow - San Diego,ok,73,101,0.7123287671232876,0.7123287671232876,0.5148514851485149,0.0,0.0,67,536.5,
4.14.26 BMO Santee CA De Novo 2026 Reno,ok,40,64,0.725,0.725,0.453125,0.1,0.0625,29,304.0,
4.14.26 Saint Mary's Stadium Clubhouse,ok,63,95,0.6190476190476191,0.6190476190476191,0.4105263157894737,0.0,0.0,0,343.5,
4.14.26 ScanHealth - Cerritos,timeout,60,0,0.0,,,,,0,600.6,CLI timed out (>10min)
4.15.26 9020 Aviation,ok,72,66,0.5972222222222222,0.5972222222222222,0.6515151515151515,0.0,0.0,2,445.7,
4.15.26 Free People - 6300 W. 3rd Street,ok,42,34,0.47619047619047616,0.47619047619047616,0.5882352941176471,0.0,0.0,1,125.5,
4.15.26 Ontario Museum Of History & Art - North Gallery,no_detections,43,0,0.0,,,,,0,107.4,
4.15.26 Sola Salons,ok,100,196,0.43,0.43,0.2193877551020408,0.31,0.15816326530612246,11,238.1,
4.16.26 Best RV Turlock,timeout,355,0,0.0,,,,,30,600.6,CLI timed out (>10min)
4.16.26 Harbor Freight - Napa,ok,27,11,0.14814814814814814,0.14814814814814814,0.36363636363636365,0.0,0.0,44,254.5,
