page,status,v10_class,truth_class,iou,x1,y1,x2,y2
2,accepted,AD-SURF SUPPLY,AD-SURF SUPPLY,1.0,1162.4999389648438,1432.8739013671875,1373.3229675292969,1639.4633178710938
2,accepted,AD-SURF SUPPLY,AD-SURF SUPPLY,1.0,1528.5478210449219,1471.0855712890625,1720.0,1682.6611328125
2,accepted,AD-SURF SUPPLY,AD-SURF SUPPLY,1.0,1851.0578918457031,1471.1690673828125,2063.235321044922,1681.2357177734375
2,accepted,CONDENSING UNIT,CONDENSING UNIT,1.0,4320.226119995117,3240.213394165039,4471.883331298828,3430.735855102539
2,accepted,AD-SURF SUPPLY,AD-SURF SUPPLY,1.0,1620.1956100463867,1483.7975463867188,1741.9900131225586,1691.6433715820312
2,accepted,AD-SURF SUPPLY,AD-SURF SUPPLY,1.0,1150.1187133789062,2992.572265625,1394.0018310546875,3231.801025390625
2,deleted,FAN,,0.0,6762.025573730469,4860.0,6988.129821777344,5002.587097167969
2,accepted,AD-SURF SUPPLY,AD-SURF SUPPLY,1.0,1080.3294830322266,1751.0055541992188,1270.1952056884766,1972.1370239257812
2,accepted,AD-T-BAR SUPPLY,AD-T-BAR SUPPLY,1.0,2293.406280517578,1620.7219543457031,2536.6105041503906,1732.5910186767578
2,accepted,AD-SURF SUPPLY,AD-SURF SUPPLY,1.0,3780.0,2951.3070068359375,3943.133590698242,3187.024169921875
2,accepted,AD-SURF SUPPLY,AD-SURF SUPPLY,1.0,1260.7562103271484,1756.4512023925781,1475.3638916015625,1970.271484375
2,accepted,AD-SURF SUPPLY,AD-SURF SUPPLY,1.0,1804.0580444335938,1642.3801879882812,2021.1084594726562,1857.9363708496094
2,accepted,AD-SURF SUPPLY,AD-SURF SUPPLY,1.0,2950.003662109375,2815.9808959960938,3164.075927734375,3027.8412475585938
2,accepted,AD-T-BAR SUPPLY,AD-T-BAR SUPPLY,1.0,2296.635040283203,1516.2557067871094,2523.9451599121094,1720.0
2,accepted,AD-SURF SUPPLY,AD-SURF SUPPLY,1.0,3706.7647094726562,2956.0145263671875,3879.8845825195312,3178.6158447265625
2,accepted,AD-SURF SUPPLY,AD-SURF SUPPLY,1.0,3529.8607788085938,2823.6265258789062,3739.972900390625,3033.685089111328
2,accepted,AD-SURF SUPPLY,AD-SURF SUPPLY,1.0,2024.0078735351562,1639.0303573608398,2248.0586547851562,1859.4468078613281
2,accepted,AD-SURF SUPPLY,AD-SURF SUPPLY,1.0,1490.3001708984375,1643.9674682617188,1708.8243408203125,1857.3251647949219
2,accepted,AD-SURF SUPPLY,AD-SURF SUPPLY,1.0,3460.362335205078,2922.271499633789,3704.5928649902344,3164.6888427734375
2,accepted,AD-GRD,AD-GRD,1.0,1034.1676330566406,1729.9441223144531,1180.0,1997.8656921386719
2,accepted,AD-SURF SUPPLY,AD-SURF SUPPLY,1.0,2764.1934509277344,2107.2088623046875,2967.0868530273438,2260.0
2,accepted,AD-SURF SUPPLY,AD-SURF SUPPLY,1.0,1992.5343017578125,2505.9707641601562,2235.0743408203125,2745.9185180664062
2,accepted,CONDENSING UNIT,CONDENSING UNIT,1.0,4320.0,3182.83447265625,4471.971298217773,3340.0
2,accepted,AD-SURF SUPPLY,AD-SURF SUPPLY,1.0,2758.8152465820312,2160.0,2964.047607421875,2314.2935791015625
2,deleted,VENT CAP,,0.0,6777.642547607422,4707.869201660156,6968.321746826172,4899.977478027344
