page,status,v10_class,truth_class,iou,x1,y1,x2,y2
1,deleted,FAN,,0.0,3362.154472351074,1609.6454467773438,3602.3363647460938,1720.0
1,deleted,AD-SURF SUPPLY,,0.0,6255.657409667969,553.2021179199219,6498.15478515625,793.5711975097656
3,accepted,FAN,FAN,1.0,4152.01708984375,2330.4060821533203,4405.1075439453125,2584.2348022460938
3,accepted,FAN,FAN,1.0,4151.267333984375,3780.0,4406.16650390625,3984.8275146484375
3,accepted,FAN,FAN,1.0,1488.1440734863281,903.9083862304688,1719.762451171875,1143.1588745117188
3,accepted,AD-GRD,AD-GRD,1.0,1754.6444702148438,4573.286376953125,2017.7626342773438,4833.6187744140625
3,accepted,FAN,FAN,1.0,5531.7789306640625,1635.1708374023438,5778.440155029297,1880.9238891601562
3,accepted,FAN,FAN,1.0,1150.8808898925781,4288.779479980469,1400.8324584960938,4420.0
3,accepted,FAN,FAN,1.0,4156.53662109375,3737.7474365234375,4396.0496826171875,3880.0
3,accepted,AD-GRD,AD-GRD,1.0,1756.7031555175781,4320.202682495117,2015.5959777832031,4537.690475463867
3,accepted,AD-GRD,AD-GRD,1.0,1620.0,892.0560302734375,1735.7497177124023,1152.6287231445312
3,accepted,AD-GRD,AD-GRD,1.0,821.119140625,2160.012939453125,1083.30078125,2376.5843963623047
4,accepted,FAN,FAN,1.0,4390.5170974731445,4564.545745849609,4638.3055419921875,4811.415557861328
4,accepted,AD-SURF SUPPLY,AD-SURF SUPPLY,1.0,3989.7869262695312,4416.610504150391,4236.433410644531,4660.752960205078
4,accepted,FAN,FAN,1.0,4095.1248168945312,4749.761077880859,4350.924011230469,4959.8397216796875
4,accepted,AD-T-BAR RETURN,AD-T-BAR RETURN,1.0,4320.0,3124.0276489257812,4501.833160400391,3339.8359985351562
4,accepted,AD-T-BAR SUPPLY,AD-T-BAR SUPPLY,1.0,3656.3474731445312,3136.165283203125,3879.0942993164062,3339.857177734375
4,accepted,FAN,FAN,1.0,4535.46760559082,4563.511734008789,4788.348693847656,4812.3985595703125
4,accepted,AD-T-BAR SUPPLY,AD-T-BAR SUPPLY,1.0,4862.215866088867,3141.0737915039062,5098.309326171875,3340.0
4,accepted,AD-T-BAR SUPPLY,AD-T-BAR SUPPLY,1.0,4320.0,1692.9388122558594,4488.235046386719,1926.0804443359375
4,accepted,AD-T-BAR RETURN,AD-T-BAR RETURN,1.0,4320.0,2393.983200073242,4495.350677490234,2630.6172485351562
4,accepted,AD-T-BAR SUPPLY,AD-T-BAR SUPPLY,1.0,3650.9973754882812,1690.6679000854492,3878.6757202148438,1928.7577514648438
4,accepted,AD-T-BAR RETURN,AD-T-BAR RETURN,1.0,3257.067054748535,3240.2320861816406,3494.5240783691406,3415.667510986328
4,accepted,AD-T-BAR RETURN,AD-T-BAR RETURN,1.0,3577.428466796875,1170.7198486328125,3829.93798828125,1422.0089111328125
